start,len,base,thread,bits,spec,ours,theirs,ours_ok,theirs_ok,agree
0,1,0x00000000,3,0x55555555,0x00000001,0x00000001,0x00000001,1,1,1
0,1,0x00000000,4,0x80000000,0x00000000,0x00000000,0x00000000,1,1,1
0,1,0x00000000,5,0x7fffffff,0x00000001,0x00000001,0x00000001,1,1,1
0,1,0x00000000,6,0x00000001,0x00000001,0x00000001,0x00000001,1,1,1
0,1,0x00000000,7,0xfffffffe,0x00000000,0x00000000,0x00000000,1,1,1
0,1,0x00000000,8,0xdeadbeef,0x00000001,0x00000001,0x00000001,1,1,1
0,1,0x00000000,9,0xcafebabe,0x00000000,0x00000000,0x00000000,1,1,1
0,1,0x00000000,10,0x12345678,0x00000000,0x00000000,0x00000000,1,1,1
0,1,0x00000000,11,0x87654321,0x00000001,0x00000001,0x00000001,1,1,1
0,1,0x00000000,12,0x000000ff,0x00000001,0x00000001,0x00000001,1,1,1
0,1,0x00000000,13,0xff000000,0x00000000,0x00000000,0x00000000,1,1,1
0,1,0x00000000,14,0x0f0f0f0f,0x00000001,0x00000001,0x00000001,1,1,1
0,1,0x00000000,15,0xf0f0f0f0,0x00000000,0x00000000,0x00000000,1,1,1
0,1,0x00000000,16,0x00ff00ff,0x00000001,0x00000001,0x00000001,1,1,1
0,1,0x00000000,17,0xff00ff00,0x00000000,0x00000000,0x00000000,1,1,1
0,1,0x00000000,18,0x33333333,0x00000001,0x00000001,0x00000001,1,1,1
0,1,0x00000000,19,0xcccccccc,0x00000000,0x00000000,0x00000000,1,1,1
0,1,0x00000000,20,0x00000100,0x00000000,0x00000000,0x00000000,1,1,1
0,1,0x00000000,21,0x00000400,0x00000000,0x00000000,0x00000000,1,1,1
0,1,0x00000000,22,0x40000000,0x00000000,0x00000000,0x00000000,1,1,1
0,1,0x00000000,23,0x20000000,0x00000000,0x00000000,0x00000000,1,1,1
0,1,0x00000000,24,0x01234567,0x00000001,0x00000001,0x00000001,1,1,1
0,1,0x00000000,25,0x89abcdef,0x00000001,0x00000001,0x00000001,1,1,1
0,1,0x00000000,26,0xfedcba98,0x00000000,0x00000000,0x00000000,1,1,1
0,1,0x00000000,27,0x76543210,0x00000000,0x00000000,0x00000000,1,1,1
0,1,0x00000000,28,0x3fffffff,0x00000001,0x00000001,0x00000001,1,1,1
0,1,0x00000000,29,0xc0000000,0x00000000,0x00000000,0x00000000,1,1,1
0,1,0x00000000,30,0x20202020,0x00000000,0x00000000,0x00000000,1,1,1
0,1,0x00000000,31,0xa5a5a5a5,0x00000001,0x00000001,0x00000001,1,1,1
0,1,0xffffffff,0,0x00000000,0xfffffffe,0xfffffffe,0xfffffffe,1,1,1
0,1,0xffffffff,1,0xffffffff,0xffffffff,0xffffffff,0xffffffff,1,1,1
0,1,0xffffffff,2,0xaaaaaaaa,0xfffffffe,0xfffffffe,0xfffffffe,1,1,1
0,1,0xffffffff,3,0x55555555,0xffffffff,0xffffffff,0xffffffff,1,1,1
0,1,0xffffffff,4,0x80000000,0xfffffffe,0xfffffffe,0xfffffffe,1,1,1
