variant,start,len,thread,bits,spec,ours,theirs,ours_ok,theirs_ok,agree
u32,16,24,15,0xf0f0f0f0,0x0000f0f0,0x0000f0f0,0x0000f0f0,1,1,1
u32,16,24,16,0x00ff00ff,0x000000ff,0x000000ff,0x000000ff,1,1,1
u32,16,24,17,0xff00ff00,0x0000ff00,0x0000ff00,0x0000ff00,1,1,1
u32,16,24,18,0x33333333,0x00003333,0x00003333,0x00003333,1,1,1
u32,16,24,19,0xcccccccc,0x0000cccc,0x0000cccc,0x0000cccc,1,1,1
u32,16,24,20,0x00000100,0x00000000,0x00000000,0x00000000,1,1,1
u32,16,24,21,0x00000400,0x00000000,0x00000000,0x00000000,1,1,1
u32,16,24,22,0x40000000,0x00004000,0x00004000,0x00004000,1,1,1
u32,16,24,23,0x20000000,0x00002000,0x00002000,0x00002000,1,1,1
u32,16,24,24,0x01234567,0x00000123,0x00000123,0x00000123,1,1,1
u32,16,24,25,0x89abcdef,0x000089ab,0x000089ab,0x000089ab,1,1,1
u32,16,24,26,0xfedcba98,0x0000fedc,0x0000fedc,0x0000fedc,1,1,1
u32,16,24,27,0x76543210,0x00007654,0x00007654,0x00007654,1,1,1
u32,16,24,28,0x3fffffff,0x00003fff,0x00003fff,0x00003fff,1,1,1
u32,16,24,29,0xc0000000,0x0000c000,0x0000c000,0x0000c000,1,1,1
u32,16,24,30,0x20202020,0x00002020,0x00002020,0x00002020,1,1,1
u32,16,24,31,0xa5a5a5a5,0x0000a5a5,0x0000a5a5,0x0000a5a5,1,1,1
u32,16,31,0,0x00000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,16,31,1,0xffffffff,0x0000ffff,0x0000ffff,0x0000ffff,1,1,1
u32,16,31,2,0xaaaaaaaa,0x0000aaaa,0x0000aaaa,0x0000aaaa,1,1,1
u32,16,31,3,0x55555555,0x00005555,0x00005555,0x00005555,1,1,1
u32,16,31,4,0x80000000,0x00008000,0x00008000,0x00008000,1,1,1
u32,16,31,5,0x7fffffff,0x00007fff,0x00007fff,0x00007fff,1,1,1
u32,16,31,6,0x00000001,0x00000000,0x00000000,0x00000000,1,1,1
u32,16,31,7,0xfffffffe,0x0000ffff,0x0000ffff,0x0000ffff,1,1,1
u32,16,31,8,0xdeadbeef,0x0000dead,0x0000dead,0x0000dead,1,1,1
u32,16,31,9,0xcafebabe,0x0000cafe,0x0000cafe,0x0000cafe,1,1,1
u32,16,31,10,0x12345678,0x00001234,0x00001234,0x00001234,1,1,1
u32,16,31,11,0x87654321,0x00008765,0x00008765,0x00008765,1,1,1
u32,16,31,12,0x000000ff,0x00000000,0x00000000,0x00000000,1,1,1
u32,16,31,13,0xff000000,0x0000ff00,0x0000ff00,0x0000ff00,1,1,1
u32,16,31,14,0x0f0f0f0f,0x00000f0f,0x00000f0f,0x00000f0f,1,1,1
u32,16,31,15,0xf0f0f0f0,0x0000f0f0,0x0000f0f0,0x0000f0f0,1,1,1
u32,16,31,16,0x00ff00ff,0x000000ff,0x000000ff,0x000000ff,1,1,1
u32,16,31,17,0xff00ff00,0x0000ff00,0x0000ff00,0x0000ff00,1,1,1
u32,16,31,18,0x33333333,0x00003333,0x00003333,0x00003333,1,1,1
u32,16,31,19,0xcccccccc,0x0000cccc,0x0000cccc,0x0000cccc,1,1,1
u32,16,31,20,0x00000100,0x00000000,0x00000000,0x00000000,1,1,1
u32,16,31,21,0x00000400,0x00000000,0x00000000,0x00000000,1,1,1
u32,16,31,22,0x40000000,0x00004000,0x00004000,0x00004000,1,1,1
u32,16,31,23,0x20000000,0x00002000,0x00002000,0x00002000,1,1,1
u32,16,31,24,0x01234567,0x00000123,0x00000123,0x00000123,1,1,1
u32,16,31,25,0x89abcdef,0x000089ab,0x000089ab,0x000089ab,1,1,1
u32,16,31,26,0xfedcba98,0x0000fedc,0x0000fedc,0x0000fedc,1,1,1
u32,16,31,27,0x76543210,0x00007654,0x00007654,0x00007654,1,1,1
u32,16,31,28,0x3fffffff,0x00003fff,0x00003fff,0x00003fff,1,1,1
u32,16,31,29,0xc0000000,0x0000c000,0x0000c000,0x0000c000,1,1,1
u32,16,31,30,0x20202020,0x00002020,0x00002020,0x00002020,1,1,1
u32,16,31,31,0xa5a5a5a5,0x0000a5a5,0x0000a5a5,0x0000a5a5,1,1,1
u32,16,32,0,0x00000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,16,32,1,0xffffffff,0x0000ffff,0x0000ffff,0x0000ffff,1,1,1
u32,16,32,2,0xaaaaaaaa,0x0000aaaa,0x0000aaaa,0x0000aaaa,1,1,1
u32,16,32,3,0x55555555,0x00005555,0x00005555,0x00005555,1,1,1
u32,16,32,4,0x80000000,0x00008000,0x00008000,0x00008000,1,1,1
u32,16,32,5,0x7fffffff,0x00007fff,0x00007fff,0x00007fff,1,1,1
u32,16,32,6,0x00000001,0x00000000,0x00000000,0x00000000,1,1,1
u32,16,32,7,0xfffffffe,0x0000ffff,0x0000ffff,0x0000ffff,1,1,1
u32,16,32,8,0xdeadbeef,0x0000dead,0x0000dead,0x0000dead,1,1,1
u32,16,32,9,0xcafebabe,0x0000cafe,0x0000cafe,0x0000cafe,1,1,1
u32,16,32,10,0x12345678,0x00001234,0x00001234,0x00001234,1,1,1
u32,16,32,11,0x87654321,0x00008765,0x00008765,0x00008765,1,1,1
u32,16,32,12,0x000000ff,0x00000000,0x00000000,0x00000000,1,1,1
u32,16,32,13,0xff000000,0x0000ff00,0x0000ff00,0x0000ff00,1,1,1
u32,16,32,14,0x0f0f0f0f,0x00000f0f,0x00000f0f,0x00000f0f,1,1,1
u32,16,32,15,0xf0f0f0f0,0x0000f0f0,0x0000f0f0,0x0000f0f0,1,1,1
u32,16,32,16,0x00ff00ff,0x000000ff,0x000000ff,0x000000ff,1,1,1
u32,16,32,17,0xff00ff00,0x0000ff00,0x0000ff00,0x0000ff00,1,1,1
u32,16,32,18,0x33333333,0x00003333,0x00003333,0x00003333,1,1,1
u32,16,32,19,0xcccccccc,0x0000cccc,0x0000cccc,0x0000cccc,1,1,1
u32,16,32,20,0x00000100,0x00000000,0x00000000,0x00000000,1,1,1
u32,16,32,21,0x00000400,0x00000000,0x00000000,0x00000000,1,1,1
u32,16,32,22,0x40000000,0x00004000,0x00004000,0x00004000,1,1,1
u32,16,32,23,0x20000000,0x00002000,0x00002000,0x00002000,1,1,1
u32,16,32,24,0x01234567,0x00000123,0x00000123,0x00000123,1,1,1
u32,16,32,25,0x89abcdef,0x000089ab,0x000089ab,0x000089ab,1,1,1
u32,16,32,26,0xfedcba98,0x0000fedc,0x0000fedc,0x0000fedc,1,1,1
u32,16,32,27,0x76543210,0x00007654,0x00007654,0x00007654,1,1,1
u32,16,32,28,0x3fffffff,0x00003fff,0x00003fff,0x00003fff,1,1,1
u32,16,32,29,0xc0000000,0x0000c000,0x0000c000,0x0000c000,1,1,1
u32,16,32,30,0x20202020,0x00002020,0x00002020,0x00002020,1,1,1
u32,16,32,31,0xa5a5a5a5,0x0000a5a5,0x0000a5a5,0x0000a5a5,1,1,1
u32,16,33,0,0x00000000,,0x00000000,0x00000000,,,1
u32,16,33,1,0xffffffff,,0x0000ffff,0x0000ffff,,,1
u32,16,33,2,0xaaaaaaaa,,0x0000aaaa,0x0000aaaa,,,1
u32,16,33,3,0x55555555,,0x00005555,0x00005555,,,1
u32,16,33,4,0x80000000,,0x00008000,0x00008000,,,1
u32,16,33,5,0x7fffffff,,0x00007fff,0x00007fff,,,1
u32,16,33,6,0x00000001,,0x00000000,0x00000000,,,1
u32,16,33,7,0xfffffffe,,0x0000ffff,0x0000ffff,,,1
u32,16,33,8,0xdeadbeef,,0x0000dead,0x0000dead,,,1
u32,16,33,9,0xcafebabe,,0x0000cafe,0x0000cafe,,,1
u32,16,33,10,0x12345678,,0x00001234,0x00001234,,,1
u32,16,33,11,0x87654321,,0x00008765,0x00008765,,,1
u32,16,33,12,0x000000ff,,0x00000000,0x00000000,,,1
u32,16,33,13,0xff000000,,0x0000ff00,0x0000ff00,,,1
u32,16,33,14,0x0f0f0f0f,,0x00000f0f,0x00000f0f,,,1
u32,16,33,15,0xf0f0f0f0,,0x0000f0f0,0x0000f0f0,,,1
u32,16,33,16,0x00ff00ff,,0x000000ff,0x000000ff,,,1
u32,16,33,17,0xff00ff00,,0x0000ff00,0x0000ff00,,,1
u32,16,33,18,0x33333333,,0x00003333,0x00003333,,,1
u32,16,33,19,0xcccccccc,,0x0000cccc,0x0000cccc,,,1
u32,16,33,20,0x00000100,,0x00000000,0x00000000,,,1
u32,16,33,21,0x00000400,,0x00000000,0x00000000,,,1
u32,16,33,22,0x40000000,,0x00004000,0x00004000,,,1
u32,16,33,23,0x20000000,,0x00002000,0x00002000,,,1
u32,16,33,24,0x01234567,,0x00000123,0x00000123,,,1
u32,16,33,25,0x89abcdef,,0x000089ab,0x000089ab,,,1
u32,16,33,26,0xfedcba98,,0x0000fedc,0x0000fedc,,,1
u32,16,33,27,0x76543210,,0x00007654,0x00007654,,,1
u32,16,33,28,0x3fffffff,,0x00003fff,0x00003fff,,,1
u32,16,33,29,0xc0000000,,0x0000c000,0x0000c000,,,1
u32,16,33,30,0x20202020,,0x00002020,0x00002020,,,1
u32,16,33,31,0xa5a5a5a5,,0x0000a5a5,0x0000a5a5,,,1
u32,23,0,0,0x00000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,0,1,0xffffffff,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,0,2,0xaaaaaaaa,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,0,3,0x55555555,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,0,4,0x80000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,0,5,0x7fffffff,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,0,6,0x00000001,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,0,7,0xfffffffe,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,0,8,0xdeadbeef,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,0,9,0xcafebabe,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,0,10,0x12345678,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,0,11,0x87654321,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,0,12,0x000000ff,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,0,13,0xff000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,0,14,0x0f0f0f0f,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,0,15,0xf0f0f0f0,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,0,16,0x00ff00ff,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,0,17,0xff00ff00,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,0,18,0x33333333,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,0,19,0xcccccccc,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,0,20,0x00000100,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,0,21,0x00000400,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,0,22,0x40000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,0,23,0x20000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,0,24,0x01234567,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,0,25,0x89abcdef,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,0,26,0xfedcba98,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,0,27,0x76543210,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,0,28,0x3fffffff,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,0,29,0xc0000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,0,30,0x20202020,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,0,31,0xa5a5a5a5,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,1,0,0x00000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,1,1,0xffffffff,0x00000001,0x00000001,0x00000001,1,1,1
u32,23,1,2,0xaaaaaaaa,0x00000001,0x00000001,0x00000001,1,1,1
u32,23,1,3,0x55555555,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,1,4,0x80000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,1,5,0x7fffffff,0x00000001,0x00000001,0x00000001,1,1,1
u32,23,1,6,0x00000001,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,1,7,0xfffffffe,0x00000001,0x00000001,0x00000001,1,1,1
u32,23,1,8,0xdeadbeef,0x00000001,0x00000001,0x00000001,1,1,1
u32,23,1,9,0xcafebabe,0x00000001,0x00000001,0x00000001,1,1,1
u32,23,1,10,0x12345678,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,1,11,0x87654321,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,1,12,0x000000ff,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,1,13,0xff000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,1,14,0x0f0f0f0f,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,1,15,0xf0f0f0f0,0x00000001,0x00000001,0x00000001,1,1,1
u32,23,1,16,0x00ff00ff,0x00000001,0x00000001,0x00000001,1,1,1
u32,23,1,17,0xff00ff00,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,1,18,0x33333333,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,1,19,0xcccccccc,0x00000001,0x00000001,0x00000001,1,1,1
u32,23,1,20,0x00000100,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,1,21,0x00000400,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,1,22,0x40000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,1,23,0x20000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,1,24,0x01234567,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,1,25,0x89abcdef,0x00000001,0x00000001,0x00000001,1,1,1
u32,23,1,26,0xfedcba98,0x00000001,0x00000001,0x00000001,1,1,1
u32,23,1,27,0x76543210,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,1,28,0x3fffffff,0x00000001,0x00000001,0x00000001,1,1,1
u32,23,1,29,0xc0000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,1,30,0x20202020,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,1,31,0xa5a5a5a5,0x00000001,0x00000001,0x00000001,1,1,1
u32,23,2,0,0x00000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,2,1,0xffffffff,0x00000003,0x00000003,0x00000003,1,1,1
u32,23,2,2,0xaaaaaaaa,0x00000001,0x00000001,0x00000001,1,1,1
u32,23,2,3,0x55555555,0x00000002,0x00000002,0x00000002,1,1,1
u32,23,2,4,0x80000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,2,5,0x7fffffff,0x00000003,0x00000003,0x00000003,1,1,1
u32,23,2,6,0x00000001,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,2,7,0xfffffffe,0x00000003,0x00000003,0x00000003,1,1,1
u32,23,2,8,0xdeadbeef,0x00000001,0x00000001,0x00000001,1,1,1
u32,23,2,9,0xcafebabe,0x00000001,0x00000001,0x00000001,1,1,1
u32,23,2,10,0x12345678,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,2,11,0x87654321,0x00000002,0x00000002,0x00000002,1,1,1
u32,23,2,12,0x000000ff,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,2,13,0xff000000,0x00000002,0x00000002,0x00000002,1,1,1
u32,23,2,14,0x0f0f0f0f,0x00000002,0x00000002,0x00000002,1,1,1
u32,23,2,15,0xf0f0f0f0,0x00000001,0x00000001,0x00000001,1,1,1
u32,23,2,16,0x00ff00ff,0x00000001,0x00000001,0x00000001,1,1,1
u32,23,2,17,0xff00ff00,0x00000002,0x00000002,0x00000002,1,1,1
u32,23,2,18,0x33333333,0x00000002,0x00000002,0x00000002,1,1,1
u32,23,2,19,0xcccccccc,0x00000001,0x00000001,0x00000001,1,1,1
u32,23,2,20,0x00000100,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,2,21,0x00000400,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,2,22,0x40000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,2,23,0x20000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,2,24,0x01234567,0x00000002,0x00000002,0x00000002,1,1,1
u32,23,2,25,0x89abcdef,0x00000003,0x00000003,0x00000003,1,1,1
u32,23,2,26,0xfedcba98,0x00000001,0x00000001,0x00000001,1,1,1
u32,23,2,27,0x76543210,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,2,28,0x3fffffff,0x00000003,0x00000003,0x00000003,1,1,1
u32,23,2,29,0xc0000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,2,30,0x20202020,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,2,31,0xa5a5a5a5,0x00000003,0x00000003,0x00000003,1,1,1
u32,23,4,0,0x00000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,4,1,0xffffffff,0x0000000f,0x0000000f,0x0000000f,1,1,1
u32,23,4,2,0xaaaaaaaa,0x00000005,0x00000005,0x00000005,1,1,1
u32,23,4,3,0x55555555,0x0000000a,0x0000000a,0x0000000a,1,1,1
u32,23,4,4,0x80000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,4,5,0x7fffffff,0x0000000f,0x0000000f,0x0000000f,1,1,1
u32,23,4,6,0x00000001,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,4,7,0xfffffffe,0x0000000f,0x0000000f,0x0000000f,1,1,1
u32,23,4,8,0xdeadbeef,0x0000000d,0x0000000d,0x0000000d,1,1,1
u32,23,4,9,0xcafebabe,0x00000005,0x00000005,0x00000005,1,1,1
u32,23,4,10,0x12345678,0x00000004,0x00000004,0x00000004,1,1,1
u32,23,4,11,0x87654321,0x0000000e,0x0000000e,0x0000000e,1,1,1
u32,23,4,12,0x000000ff,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,4,13,0xff000000,0x0000000e,0x0000000e,0x0000000e,1,1,1
u32,23,4,14,0x0f0f0f0f,0x0000000e,0x0000000e,0x0000000e,1,1,1
u32,23,4,15,0xf0f0f0f0,0x00000001,0x00000001,0x00000001,1,1,1
u32,23,4,16,0x00ff00ff,0x00000001,0x00000001,0x00000001,1,1,1
u32,23,4,17,0xff00ff00,0x0000000e,0x0000000e,0x0000000e,1,1,1
u32,23,4,18,0x33333333,0x00000006,0x00000006,0x00000006,1,1,1
u32,23,4,19,0xcccccccc,0x00000009,0x00000009,0x00000009,1,1,1
u32,23,4,20,0x00000100,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,4,21,0x00000400,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,4,22,0x40000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,4,23,0x20000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,4,24,0x01234567,0x00000002,0x00000002,0x00000002,1,1,1
u32,23,4,25,0x89abcdef,0x00000003,0x00000003,0x00000003,1,1,1
u32,23,4,26,0xfedcba98,0x0000000d,0x0000000d,0x0000000d,1,1,1
u32,23,4,27,0x76543210,0x0000000c,0x0000000c,0x0000000c,1,1,1
u32,23,4,28,0x3fffffff,0x0000000f,0x0000000f,0x0000000f,1,1,1
u32,23,4,29,0xc0000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,4,30,0x20202020,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,4,31,0xa5a5a5a5,0x0000000b,0x0000000b,0x0000000b,1,1,1
u32,23,7,0,0x00000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,7,1,0xffffffff,0x0000007f,0x0000007f,0x0000007f,1,1,1
u32,23,7,2,0xaaaaaaaa,0x00000055,0x00000055,0x00000055,1,1,1
u32,23,7,3,0x55555555,0x0000002a,0x0000002a,0x0000002a,1,1,1
u32,23,7,4,0x80000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,7,5,0x7fffffff,0x0000007f,0x0000007f,0x0000007f,1,1,1
u32,23,7,6,0x00000001,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,7,7,0xfffffffe,0x0000007f,0x0000007f,0x0000007f,1,1,1
u32,23,7,8,0xdeadbeef,0x0000003d,0x0000003d,0x0000003d,1,1,1
u32,23,7,9,0xcafebabe,0x00000015,0x00000015,0x00000015,1,1,1
u32,23,7,10,0x12345678,0x00000024,0x00000024,0x00000024,1,1,1
u32,23,7,11,0x87654321,0x0000000e,0x0000000e,0x0000000e,1,1,1
u32,23,7,12,0x000000ff,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,7,13,0xff000000,0x0000007e,0x0000007e,0x0000007e,1,1,1
u32,23,7,14,0x0f0f0f0f,0x0000001e,0x0000001e,0x0000001e,1,1,1
u32,23,7,15,0xf0f0f0f0,0x00000061,0x00000061,0x00000061,1,1,1
u32,23,7,16,0x00ff00ff,0x00000001,0x00000001,0x00000001,1,1,1
u32,23,7,17,0xff00ff00,0x0000007e,0x0000007e,0x0000007e,1,1,1
u32,23,7,18,0x33333333,0x00000066,0x00000066,0x00000066,1,1,1
u32,23,7,19,0xcccccccc,0x00000019,0x00000019,0x00000019,1,1,1
u32,23,7,20,0x00000100,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,7,21,0x00000400,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,7,22,0x40000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,7,23,0x20000000,0x00000040,0x00000040,0x00000040,1,1,1
u32,23,7,24,0x01234567,0x00000002,0x00000002,0x00000002,1,1,1
u32,23,7,25,0x89abcdef,0x00000013,0x00000013,0x00000013,1,1,1
u32,23,7,26,0xfedcba98,0x0000007d,0x0000007d,0x0000007d,1,1,1
u32,23,7,27,0x76543210,0x0000006c,0x0000006c,0x0000006c,1,1,1
u32,23,7,28,0x3fffffff,0x0000007f,0x0000007f,0x0000007f,1,1,1
u32,23,7,29,0xc0000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,7,30,0x20202020,0x00000040,0x00000040,0x00000040,1,1,1
u32,23,7,31,0xa5a5a5a5,0x0000004b,0x0000004b,0x0000004b,1,1,1
u32,23,8,0,0x00000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,8,1,0xffffffff,0x000000ff,0x000000ff,0x000000ff,1,1,1
u32,23,8,2,0xaaaaaaaa,0x00000055,0x00000055,0x00000055,1,1,1
u32,23,8,3,0x55555555,0x000000aa,0x000000aa,0x000000aa,1,1,1
u32,23,8,4,0x80000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,8,5,0x7fffffff,0x000000ff,0x000000ff,0x000000ff,1,1,1
u32,23,8,6,0x00000001,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,8,7,0xfffffffe,0x000000ff,0x000000ff,0x000000ff,1,1,1
u32,23,8,8,0xdeadbeef,0x000000bd,0x000000bd,0x000000bd,1,1,1
u32,23,8,9,0xcafebabe,0x00000095,0x00000095,0x00000095,1,1,1
u32,23,8,10,0x12345678,0x00000024,0x00000024,0x00000024,1,1,1
u32,23,8,11,0x87654321,0x0000000e,0x0000000e,0x0000000e,1,1,1
u32,23,8,12,0x000000ff,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,8,13,0xff000000,0x000000fe,0x000000fe,0x000000fe,1,1,1
u32,23,8,14,0x0f0f0f0f,0x0000001e,0x0000001e,0x0000001e,1,1,1
u32,23,8,15,0xf0f0f0f0,0x000000e1,0x000000e1,0x000000e1,1,1,1
u32,23,8,16,0x00ff00ff,0x00000001,0x00000001,0x00000001,1,1,1
u32,23,8,17,0xff00ff00,0x000000fe,0x000000fe,0x000000fe,1,1,1
u32,23,8,18,0x33333333,0x00000066,0x00000066,0x00000066,1,1,1
u32,23,8,19,0xcccccccc,0x00000099,0x00000099,0x00000099,1,1,1
u32,23,8,20,0x00000100,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,8,21,0x00000400,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,8,22,0x40000000,0x00000080,0x00000080,0x00000080,1,1,1
u32,23,8,23,0x20000000,0x00000040,0x00000040,0x00000040,1,1,1
u32,23,8,24,0x01234567,0x00000002,0x00000002,0x00000002,1,1,1
u32,23,8,25,0x89abcdef,0x00000013,0x00000013,0x00000013,1,1,1
u32,23,8,26,0xfedcba98,0x000000fd,0x000000fd,0x000000fd,1,1,1
u32,23,8,27,0x76543210,0x000000ec,0x000000ec,0x000000ec,1,1,1
u32,23,8,28,0x3fffffff,0x0000007f,0x0000007f,0x0000007f,1,1,1
u32,23,8,29,0xc0000000,0x00000080,0x00000080,0x00000080,1,1,1
u32,23,8,30,0x20202020,0x00000040,0x00000040,0x00000040,1,1,1
u32,23,8,31,0xa5a5a5a5,0x0000004b,0x0000004b,0x0000004b,1,1,1
u32,23,15,0,0x00000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,15,1,0xffffffff,0x000001ff,0x000001ff,0x000001ff,1,1,1
u32,23,15,2,0xaaaaaaaa,0x00000155,0x00000155,0x00000155,1,1,1
u32,23,15,3,0x55555555,0x000000aa,0x000000aa,0x000000aa,1,1,1
u32,23,15,4,0x80000000,0x00000100,0x00000100,0x00000100,1,1,1
u32,23,15,5,0x7fffffff,0x000000ff,0x000000ff,0x000000ff,1,1,1
u32,23,15,6,0x00000001,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,15,7,0xfffffffe,0x000001ff,0x000001ff,0x000001ff,1,1,1
u32,23,15,8,0xdeadbeef,0x000001bd,0x000001bd,0x000001bd,1,1,1
u32,23,15,9,0xcafebabe,0x00000195,0x00000195,0x00000195,1,1,1
u32,23,15,10,0x12345678,0x00000024,0x00000024,0x00000024,1,1,1
u32,23,15,11,0x87654321,0x0000010e,0x0000010e,0x0000010e,1,1,1
u32,23,15,12,0x000000ff,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,15,13,0xff000000,0x000001fe,0x000001fe,0x000001fe,1,1,1
u32,23,15,14,0x0f0f0f0f,0x0000001e,0x0000001e,0x0000001e,1,1,1
u32,23,15,15,0xf0f0f0f0,0x000001e1,0x000001e1,0x000001e1,1,1,1
u32,23,15,16,0x00ff00ff,0x00000001,0x00000001,0x00000001,1,1,1
u32,23,15,17,0xff00ff00,0x000001fe,0x000001fe,0x000001fe,1,1,1
u32,23,15,18,0x33333333,0x00000066,0x00000066,0x00000066,1,1,1
u32,23,15,19,0xcccccccc,0x00000199,0x00000199,0x00000199,1,1,1
u32,23,15,20,0x00000100,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,15,21,0x00000400,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,15,22,0x40000000,0x00000080,0x00000080,0x00000080,1,1,1
u32,23,15,23,0x20000000,0x00000040,0x00000040,0x00000040,1,1,1
u32,23,15,24,0x01234567,0x00000002,0x00000002,0x00000002,1,1,1
u32,23,15,25,0x89abcdef,0x00000113,0x00000113,0x00000113,1,1,1
u32,23,15,26,0xfedcba98,0x000001fd,0x000001fd,0x000001fd,1,1,1
u32,23,15,27,0x76543210,0x000000ec,0x000000ec,0x000000ec,1,1,1
u32,23,15,28,0x3fffffff,0x0000007f,0x0000007f,0x0000007f,1,1,1
u32,23,15,29,0xc0000000,0x00000180,0x00000180,0x00000180,1,1,1
u32,23,15,30,0x20202020,0x00000040,0x00000040,0x00000040,1,1,1
u32,23,15,31,0xa5a5a5a5,0x0000014b,0x0000014b,0x0000014b,1,1,1
u32,23,16,0,0x00000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,23,16,1,0xffffffff,0x000001ff,0x000001ff,0x000001ff,1,1,1
