variant,start,len,thread,bits,spec,ours,theirs,ours_ok,theirs_ok,agree
u32,0,2,14,0x0f0f0f0f,0x00000003,0x00000003,0x00000003,1,1,1
u32,0,2,15,0xf0f0f0f0,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,2,16,0x00ff00ff,0x00000003,0x00000003,0x00000003,1,1,1
u32,0,2,17,0xff00ff00,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,2,18,0x33333333,0x00000003,0x00000003,0x00000003,1,1,1
u32,0,2,19,0xcccccccc,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,2,20,0x00000100,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,2,21,0x00000400,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,2,22,0x40000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,2,23,0x20000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,2,24,0x01234567,0x00000003,0x00000003,0x00000003,1,1,1
u32,0,2,25,0x89abcdef,0x00000003,0x00000003,0x00000003,1,1,1
u32,0,2,26,0xfedcba98,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,2,27,0x76543210,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,2,28,0x3fffffff,0x00000003,0x00000003,0x00000003,1,1,1
u32,0,2,29,0xc0000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,2,30,0x20202020,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,2,31,0xa5a5a5a5,0x00000001,0x00000001,0x00000001,1,1,1
u32,0,4,0,0x00000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,4,1,0xffffffff,0x0000000f,0x0000000f,0x0000000f,1,1,1
u32,0,4,2,0xaaaaaaaa,0x0000000a,0x0000000a,0x0000000a,1,1,1
u32,0,4,3,0x55555555,0x00000005,0x00000005,0x00000005,1,1,1
u32,0,4,4,0x80000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,4,5,0x7fffffff,0x0000000f,0x0000000f,0x0000000f,1,1,1
u32,0,4,6,0x00000001,0x00000001,0x00000001,0x00000001,1,1,1
u32,0,4,7,0xfffffffe,0x0000000e,0x0000000e,0x0000000e,1,1,1
u32,0,4,8,0xdeadbeef,0x0000000f,0x0000000f,0x0000000f,1,1,1
u32,0,4,9,0xcafebabe,0x0000000e,0x0000000e,0x0000000e,1,1,1
u32,0,4,10,0x12345678,0x00000008,0x00000008,0x00000008,1,1,1
u32,0,4,11,0x87654321,0x00000001,0x00000001,0x00000001,1,1,1
u32,0,4,12,0x000000ff,0x0000000f,0x0000000f,0x0000000f,1,1,1
u32,0,4,13,0xff000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,4,14,0x0f0f0f0f,0x0000000f,0x0000000f,0x0000000f,1,1,1
u32,0,4,15,0xf0f0f0f0,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,4,16,0x00ff00ff,0x0000000f,0x0000000f,0x0000000f,1,1,1
u32,0,4,17,0xff00ff00,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,4,18,0x33333333,0x00000003,0x00000003,0x00000003,1,1,1
u32,0,4,19,0xcccccccc,0x0000000c,0x0000000c,0x0000000c,1,1,1
u32,0,4,20,0x00000100,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,4,21,0x00000400,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,4,22,0x40000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,4,23,0x20000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,4,24,0x01234567,0x00000007,0x00000007,0x00000007,1,1,1
u32,0,4,25,0x89abcdef,0x0000000f,0x0000000f,0x0000000f,1,1,1
u32,0,4,26,0xfedcba98,0x00000008,0x00000008,0x00000008,1,1,1
u32,0,4,27,0x76543210,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,4,28,0x3fffffff,0x0000000f,0x0000000f,0x0000000f,1,1,1
u32,0,4,29,0xc0000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,4,30,0x20202020,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,4,31,0xa5a5a5a5,0x00000005,0x00000005,0x00000005,1,1,1
u32,0,7,0,0x00000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,7,1,0xffffffff,0x0000007f,0x0000007f,0x0000007f,1,1,1
u32,0,7,2,0xaaaaaaaa,0x0000002a,0x0000002a,0x0000002a,1,1,1
u32,0,7,3,0x55555555,0x00000055,0x00000055,0x00000055,1,1,1
u32,0,7,4,0x80000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,7,5,0x7fffffff,0x0000007f,0x0000007f,0x0000007f,1,1,1
u32,0,7,6,0x00000001,0x00000001,0x00000001,0x00000001,1,1,1
u32,0,7,7,0xfffffffe,0x0000007e,0x0000007e,0x0000007e,1,1,1
u32,0,7,8,0xdeadbeef,0x0000006f,0x0000006f,0x0000006f,1,1,1
